,State,City,Zip,Address,Phone,Name
44,Alabama,Dothan,36303,3753 Ross Clark Circle,(334) 503-7819x7801,Central Alabama VA Healthcare Sys Dothan Mental Health Clinic
45,Alabama,Dothan,36301,700 East Cottonwood Road,(334) 794-7373x237,Laurel Oaks Behavioral Health Center
46,Alabama,Dothan,36301,1108 Ross Clark Circle,(334) 793-8111x5482,Southeast Alabama Medical Center Behavioral Medicine Center
47,Alabama,Dothan,36302,1672 Columbia Highway,(800) 951-4357,SpectraCare Houston Adult Outpatient Program
48,Alabama,Dothan,36303,134 Prevatt Road,(800) 951-4357,SpectraCare Houston County Intensive Rehab Day
49,Alabama,Dutton,35744,4884 Alabama Highway 40,(256) 228-6514,Mountain Lakes Behav Healthcare Sue Bolt Foster Home
50,Alabama,Dutton,35744,4886 Alabama Highway 40,(256) 228-3361,Mountain Lakes Resid Care Home
51,Alabama,Enterprise,36330,2861 Neal Metcalf Road,(334) 347-0212,South Central Alabama CMHC Coffee County Mental Health Clinic
52,Alabama,Eufaula,36027,820 West Washington Street,(334) 688-7000,Medical Center Barbour
53,Alabama,Eufaula,36027,133 North Orange Avenue,(334) 687-2323,SpectraCare Barbour County Clinic
54,Alabama,Eutaw,35462,301 Prairie Avenue,(205) 372-3106,West Alabama Mental Health Center Greene County Office
55,Alabama,Fairhope,36532,372 Greeno Road South,(251) 928-2871,AltaPointe Health Systems Inc
56,Alabama,Fairhope,36532,750 Morphy Avenue,(251) 279-1119,Harbor at Thomas Hospital Gulf Health Hospitals Inc
57,Alabama,Florence,35630,635 West College Street,(256) 764-3431,Riverbend Center for Mental Health
58,Alabama,Fort Payne,35967,301 14th Street NW,(256) 845-4571,Cherokee Etowah Dekalb CMHC Dekalb County Office
59,Alabama,Fort Payne,35968,200 Medical Center Drive SW,(256) 845-3150x2725,DeKalb Regional Medical Center
60,Alabama,Gadsden,35901,1038 McDuffie Street,(256) 543-2883,Frantz Therapeutic Residential Home
61,Alabama,Gadsden,35903,1007 Goodyear Avenue,(833) 217-8830,Gadsden Regional Medical Center Behavioral Health
62,Alabama,Gadsden,35904,3001 Scenic Highway,(256) 546-9265x2278,Mountain View Hospital
63,Alabama,Gadsden,35901,600 South 3rd Street,(256) 543-5200,Riverview Regional Medical Center Senior Heights
64,Alabama,Geneva,36340,1203 West Maple Avenue,(334) 684-9615,SpectraCare Geneva County Clinic
65,Alabama,Greensboro,36744,401 1st Street,(334) 624-4905,West Alabama Mental Health Center Hale County Office
66,Alabama,Greenville,36037,185 Industrial Parkway,(334) 382-2018,South Central Alabama CMHC Butler County MH Center
67,Alabama,Greenville,36037,674 Hardscramble Road,(334) 382-1645,South Central Alabama MHC Behavioral Group Home
68,Alabama,Grove Hill,36451,295 South Jackson Street,(251) 275-4922,Southern Oaks Grove Hill Memorial Hospital
69,Alabama,Guntersville,35976,100 Judy Smith Drive,(256) 582-4033,Guntersville CBOC
70,Alabama,Guntersville,35976,8000 Alabama Highway 69,(256) 571-8722,Marshall Medical Centers North Behavioral Health Unit
71,Alabama,Guntersville,35976,2409 Homer Clayton Drive,(256) 582-3203,Mountain Lakes Behav Healthcare
72,Alabama,Haleyville,35565,42024 Highway 195 East,(205) 485-7252,Lakeland Community Hospital
73,Alabama,Haleyville,35565,71 Carraway Drive,(205) 486-4111,Northwest Alabama Mental Health Ctr Winston County Office
74,Alabama,Hayneville,36040,5 Academy Lane,(334) 279-7830x7501,Montgomery Area MH Authority Lowndes County Satellite Office
75,Alabama,Heflin,36264,2488 Highway 46,(256) 463-2969,Highland Health Systems Outpatient Satellite
76,Alabama,Huntsville,35805,500 Markaview Road,(256) 535-3100,Birmingham VAMC Huntsville Clinic
77,Alabama,Huntsville,35805,3911 Triana Boulevard SW,(256) 217-9949x35,Crisis Residential Center
78,Alabama,Huntsville,35801,101 Sivley SW Road,(256) 265-8123,Huntsville Hospital
79,Alabama,Huntsville,35802,1900 Golf Road SW,(256) 705-6493,Nova Center for Yth and Family Servs Child and Adolescent
80,Alabama,Huntsville,35816,4812 Commercial Drive,(866) 906-8336,Pinnacle Behavioral Health Intensive Outpatient Program
81,Alabama,Huntsville,35805,3911 Triana Boulevard SW,(256) 533-1970,Triana Adult Outpatient
82,Alabama,Huntsville,35806,5315 Millennium Drive NW,(256) 964-6700,Unity Psychiatric Care
83,Alabama,Huntsville,35802,4040 Memorial Parkway SW,(256) 533-1970,WellStone Inc
84,Alabama,Jacksonville,36265,614 Pelham Road South,(256) 435-5502,Highland Health Systems Jacksonville Mental Health
85,Alabama,Jasper,35501,1454 Jones Dairy Road,(205) 221-7384,Birmingham VAMC Jasper Clinic
86,Alabama,Lineville,36266,88217 Highway 9,(256) 487-0150,Altapointe Health Outpatient Children Adolescents and Adults
87,Alabama,Livingston,35470,1121 North Washington Street,(205) 652-6731,West Alabama Mental Health Center Sumter County Office
88,Alabama,Luverne,36049,150 Hospital Drive,(334) 335-5040,Beacon Behavioral Health
89,Alabama,Luverne,36049,101 Hospital Circle,(334) 335-1175,Crenshaw Community Hospital Special Sevices Unit
90,Alabama,Luverne,36049,587 Bentley Avenue,(334) 335-5201,South Central Alabama CMHC Crenshaw County MH Clinic
91,Alabama,Marion,36756,104 Edwards Street,(334) 683-9957,Cahaba Center for Mental Health Perry County Satellite
92,Alabama,McKenzie,36456,5590 Hank Williams Road,(334) 222-2525x70339,South Central Alabama MHC Graceland/3 Bed Group Home
93,Alabama,Mobile,36693,5800 Southland Drive,(251) 661-0153,AltaPointe Health Systems Inc BayPointe Hospital
94,Alabama,Mobile,36619,444 Demetropolis Road,(228) 523-5046,Gulf Coast VAMC VA Outpatient Clinic
95,Alabama,Montgomery,36116,4385 Narrow Lane Road,(334) 286-5360,Baptist Medical Center South Crossbridge Behavioral Health
96,Alabama,Montgomery,36109,215 Perry Hill Road,(334) 272-4670,Central Alabama VA Healthcare Sys West Campus
97,Alabama,Montgomery,36106,917 Olive Street,(334) 279-7830x7721,Jackson Hospital Montgomery County Assessment Ctr
98,Alabama,Montgomery,36107,2140 Upper Wetumpka Road,(334) 279-7830,Montgomery Area MH Authority
99,Alabama,Montgomery,36109,112 Coliseum Boulevard,(334) 279-7830x7301,Montgomery Area MH Authority Adolescent Total Care
100,Alabama,Montgomery,36109,3948 Beth Manor Drive,(334) 279-7830x7621,Montgomery Area MH Authority Beth Manor Crisis Residential Facility
101,Alabama,Moulton,35650,295 Hospital Street,(256) 974-6697,Lawrence County Adult CM
102,Alabama,Moulton,35650,295 Hospital Street,(256) 974-6697,Lawrence County Adult Outpatient
103,Alabama,Moulton,35650,295 Hospital Street,(256) 974-6697,Lawrence County Child and Adol CM/Hourly Services
104,Alabama,Moulton,35650,317 Hospital Street,(256) 974-6697,MHCNCA Inc Moulton Lawrence Counseling Ctr
105,Alabama,Muscle Shoals,35661,201 West Avalon Avenue,(256) 386-1240,Shoals Hospital Shoals Mental Health Crisis Unit
106,Alabama,Northport,35476,2700 Hospital Drive,(205) 330-3101,Northport Medical Center North Harbor Psych Pavillion
107,Alabama,Opelika,36801,2000 Pepperell Parkway,(334) 528-1010x4198,East Alabama Medical Center Department of Psychiatric Medicine
108,Alabama,Opp,36467,702 North Main Street,(334) 493-9134,Mizell Memorial Hospital Senior Care Behavioral Unit
109,Alabama,Owens Cross Roads,35763,318 Hamer Road,(256) 725-7170,OWENS CROSS ROADS Sequel TSI Owens Cross Roads
110,Alabama,Oxford,36203,96 Ali Way Creekside Street,(256) 832-4141,Birmingham VAMC Anniston Oxford Clinic
111,Alabama,Ozark,36360,126 Hospital Avenue,(334) 774-7352,Dale Medical Center New Day Psychiatric Unit
112,Alabama,Ozark,36360,134 Katherine Avenue,(800) 951-4357,SpectraCare Dale County/Clinic and Day Trt
113,Alabama,Pelham,35124,2100 County Services Drive,(205) 663-1252,Chilton Shelby MHC
114,Alabama,Pelham,35124,2280 Highway 35,(205) 682-6186,Family and Youth Interv Programs
115,Alabama,Pell City,35125,625 15th Street North,(205) 338-7525,Eastside CMHC Saint Clair County CMHC
116,Alabama,Prattville,36066,1595 East Main Street,(334) 279-7830x7401,Montgomery Area MH Authority Autauga County Satellite Office
117,Alabama,Rainbow City,35906,206 Rescia Avenue,(256) 413-7154,Birmingham VAMC Gadsden Clinic
118,Alabama,Russellville,35653,205 Jackson Avenue South,(256) 332-3971,Riverbend Center for Mental Health
119,Alabama,Samson,36477,10386 West State Highway 52,(800) 951-4357,SpectraCare Geneva County Day Treatment
120,Alabama,Scottsboro,35768,508 Gregory Street,(256) 259-1774,Mountain Lakes Behav Healthcare Jackson County Office
121,Alabama,Selma,36701,417 Medical Center Parkway,(334) 875-6068,Cahaba Center for Mental Health Annex
122,Alabama,Selma,36701,1017 Medical Center Parkway,(334) 875-2100,Cahaba Center for Mental Health Reynolds Building
123,Alabama,Sheffield,35660,422 Cox Boulevard,(256) 381-9055,Birmingham VAMC Shoals Area Clinic
124,Alabama,Sylacauga,35150,315 West Hickory Street,(256) 401-4670,Coosa Valley Senior Behav Hlth
125,Alabama,Tallassee,36078,805 Friendship Road,(334) 283-6541x3870,Community Hospital
126,Alabama,Troy,36081,1300 Highway 231 South,(334) 808-2874,Charles Henderson Child Health Servs East Central Mental Health
127,Alabama,Tuscaloosa,35404,2501 Woodland Road,(205) 348-7236,University of Alabama
128,Alabama,Tuscaloosa,35404,1651 Ruby Tyler Parkway,(205) 507-8000,Bryce Hospital
129,Alabama,Tuscaloosa,35401,2020 Paul W Bryant Drive,(205) 752-2504,Family Counseling Service of Tuscaloosa County
130,Alabama,Tuscaloosa,35401,2209 9th Street,(205) 391-3131x1043,Indian Rivers Behavioral Health
131,Alabama,Tuscaloosa,35401,115 Harper Court,(205) 366-3010x3013,Mary Starke Harper Geriatric Psychiatry Center
132,Alabama,Tuskegee,36083,103 East Oak Street,(334) 727-7001,Macon County Satellite
133,Alabama,Union Springs,36089,202 Abercrombie Street,(334) 738-5279,UNION SPRINGS Bullock County Satellite
134,Alabama,Wetumpka,36092,8721 U.S. Highway 231,(334) 279-7830x7601,Montgomery Area MH Authority Hillside Mental Health Center
135,Alabama,Wilmer,36587,8065 Lott Road,(251) 645-3738,AltaPointe Health Systems Inc Lott Transitional Age CRF
136,Alabama,Winfield,35594,1530 U.S. Highway 43,(205) 487-7000,Northwest Medical Center
137,Alaska,Anchorage,99507,4600 Abbott Road,(907) 346-2101,AK Child and Family
138,Alaska,Anchorage,99503,360 West Benson Boulevard,(907) 433-7080,Akeela Inc
139,Alaska,Anchorage,99508,3700 Piper Street,(907) 269-7100,Alaska Psychiatric Institute
140,Alaska,Anchorage,99504,1201 North Muldoon Road,(907) 257-4700,Alaska VA Healthcare System and Regional Office
141,Alaska,Anchorage,99518,1131 East International Airport Road,(907) 276-2700,Aleutian Pribilof Islands Association
142,Alaska,Anchorage,99501,1432 Ingra Street,(907) 562-7900,Anchorage Comm Mental Health Services
143,Alaska,Anchorage,99508,4020 Folker Street,(907) 563-1000,Anchorage Comm Mental Health Services
144,Alaska,Anchorage,99508,4045 Lake Otis Parkway,(907) 762-2800,Anchorage Comm Mental Health Services Child and Family Services
145,Alaska,Anchorage,99508,2211 Arca Drive,(907) 277-6677,Arc of Anchorage
146,Alaska,Anchorage,99508,1650 Bragaw Street,(907) 272-6206,CHLD SNR YAD Chris Kyle Patriots Hospital
147,Alaska,Anchorage,99508,1840 Bragaw Street,(907) 562-4155,Chugachmiut Inc
148,Alaska,Anchorage,99504,1251 Muldoon Road,(907) 274-8281,Denali Family Services
149,Alaska,Anchorage,99518,6401 A Street,(907) 274-8281,Denali Family Services
150,Alaska,Anchorage,99508,2530 DeBarr Road,(907) 264-3595,Good Samaritan Psychiatric Services
151,Alaska,Anchorage,99503,1400 West Benson Boulevard,(907) 929-4009,Greatland Clinical Associates LLC
152,Alaska,Anchorage,99518,540 West International Airport Road,(907) 561-5335x4901,Hope Community Resources
153,Alaska,Anchorage,99508,2530 DeBarr Road,(907) 258-7575,SNR YAD North Star DeBarr Hospital
154,Alaska,Anchorage,99508,1500 Debarr Circle,(907) 865-7100,North Star DeBarr RTC
155,Alaska,Anchorage,99502,3210 West 62nd Avenue,(907) 212-2040,Providence Adolescent Residential Treatment Program
156,Alaska,Anchorage,99519,3200 Providence Drive,(907) 212-3090,Providence Alaska Medical Center Behavioral Health/4W
157,Alaska,Anchorage,99508,3760 Piper Street,(907) 563-5006,Providence Crisis Recovery Center
158,Alaska,Anchorage,99508,3760 Piper Street,(907) 212-4043,Providence Medical Group Behavioral Health
159,Alaska,Barrow,99723,5326 Laura Madison Street,(907) 852-0402,Gathering Place
160,Alaska,Barrow,99723,5200 Karluk Street,(907) 852-0366,North Slope Borough DHSS Integrated Behavioral Health
161,Alaska,Barrow,99723,2000 Ahkovak Street,(907) 852-0263,North Slope Borough Health Department CYS
162,Alaska,Bethel,99559,5016 Noel Polty Boulevard,(907) 543-6800,McCann Treatment Center
163,Alaska,Bethel,99559,829 Eddie Hoffman Highway,(907) 543-6100,Yukon Kuskokwim Health Corporation
164,Alaska,Copper Center,99573,Mile 111.5 Old Richardson Highway,(907) 822-5241x254,COPPER CENTER Copper River Native Association
165,Alaska,Cordova,99574,602 Chase Avenue,(907) 424-8300,Sound Alternatives Cordova Community Medical Clinic
166,Alaska,Craig,99921,1800 CK Highway,(907) 826-3891,Community Connections
167,Alaska,Dillingham,99576,6000 Kanakanak Road,(907) 842-5201,Bristol Bay Area Health Corporation
168,Alaska,Eagle River,99577,12801 Old Glen Highway,(907) 694-5550,Discovery Cove Recovery and Wellness Center
169,Alaska,Eagle River,99577,17025 Snowmobile Lane,(907) 696-7466,Orion Behavioral Health Network
170,Alaska,Fairbanks,99709,1423 Peger Road,(907) 371-1300,Fairbanks Community Mental Health Services
171,Alaska,Fairbanks,99701,1650 Cowles Street,(907) 452-8181,Fairbanks Memorial Hospital Behavioral Health
172,Alaska,Fairbanks,99709,1825 Marika Road,(907) 474-0890,Family Centered Services of Alaska
173,Alaska,Fairbanks,99701,3101 Lathrop Street,(907) 459-4700,Family Centered Services of Alaska
174,Alaska,Fairbanks,99701,209 Forty Mile Avenue,(907) 456-6445,Presbyterian Hospitality House
175,Alaska,Fairbanks,99701,122 1st Avenue,(907) 452-8251x3800,Tanana Chiefs Conference Inc Behavioral Health
176,Alaska,Fort Wainwright,99703,4076 Neeley Road,(907) 370-1403,FORT WAINWRIGHT Fairbanks VA CBOC
177,Alaska,Fort Yukon,99740,101 Spruce Street,(907) 662-2593,FORT YUKON Council of Athabascan Tribal Govt
178,Alaska,Haines,99827,16 Main Street,(907) 766-6313,Lynn Canal Counseling Services
179,Alaska,Homer,99603,3948 Ben Walters Lane,(907) 235-7701,South Peninsula Behav Health Services The Center
180,Alaska,Juneau,99801,3260 Hospital Drive,(907) 796-8430,Bartlett Regional Hospital Mental Health Unit
181,Alaska,Juneau,99801,3406-A Glacier Highway,(907) 463-3303,JAMHI Health and Wellness Inc
182,Alaska,Juneau,99801,1944 Allen Court,(907) 463-6882,JAMHI Health and Wellness Inc Midtown Clinic
183,Alaska,Juneau,99801,3406 Glacier Highway,(907) 463-6885,JAMHI Health and Wellness Inc Salmon Creek Lodge
184,Alaska,Juneau,99801,10815 Black Bear Road,(907) 789-7654,Juneau Youth Services Inc Cornerstone
185,Alaska,Juneau,99801,10685 Mendenhall Loop Road,(907) 523-6250,Juneau Youth Services Inc Montana Creek
186,Alaska,Juneau,99801,1046 Salmon Creek Lane,(907) 364-4445,SEARHC Juneau Behavioral Health
187,Alaska,Kenai,99611,320 South Spruce Street,(907) 283-7635,Kenai Peninsula Community Care Center Dimmick Retreat
188,Alaska,Kenai,99611,320 South Spruce Street,(907) 283-7635,Kenai Peninsula Community Care Center Hardy House
189,Alaska,Kenai,99611,508 Upland Street,(907) 335-7500x7566,Kenaitze Indian Tribe Denaina Wellness Center
190,Alaska,Ketchikan,99901,3050 5th Avenue,(907) 225-4135,Akeela Inc Gateway Center for Human Services
191,Alaska,Ketchikan,99901,721 Stedman Street,(907) 225-7825,Community Connections Admin Facility
192,Alaska,Ketchikan,99901,606 Hill Road,(866) 838-1861x110,Hill House
193,Alaska,Ketchikan,99901,3100 Tongass Avenue,(907) 228-8140,PeaceHealth Ketchikan Medical Center
194,Alaska,Ketchikan,99901,2514 1st Avenue,(907) 225-4664x1,Residential Youth Care Inc
195,Alaska,King Cove,99612,100 Slocum Drive,(907) 497-2311,KING COVE King Cove CHC
196,Alaska,Kodiak,99615,3449 East Rezanof Drive,(907) 486-9800x9816,Kodiak Area Native Association
197,Alaska,Kodiak,99615,717 East Rezanof Drive,(907) 481-2400,Providence Kodiak Island Counseling Center
198,Alaska,Kotzebue,99752,733 2nd Avenue,(907) 442-7640,Maniilaq Counseling and Recovery Ctr
199,Alaska,Metlakatla,99926,900 Upper Milton Street,(907) 886-6911,Metlakatla Indian Community Willamootk Counseling Services
200,Alaska,Ninilchik,99639,15765 Kingsley Road,(907) 567-3370,Ninilchik Traditional Council
201,Alaska,Nome,99762,607 Division Street,(907) 443-3344,Norton Sound Health Corporation Behavioral Health Services
202,Alaska,Palmer,99645,11921 East Palmer Wasilla Highway,(907) 745-2634,Compassionate Directions CoOccurring Disorders Institute (CoDI)
203,Alaska,Palmer,99645,550 South Alaska Street,(907) 746-6019,Daybreak Inc
204,Alaska,Palmer,99645,3647 North Clark Wolverine Road,(907) 761-7400,North Star Palmer RTC Summit Program
205,Alaska,Palmer,99645,Mile 2.5 Clark Wolverine Road,(907) 761-7403,Summit of North Star Behavioral Health
206,Alaska,Sand Point,99661,172 Red Cove Road,(907) 383-3151x604,SAND POINT Eastern Aleutian Tribes Inc
207,Alaska,Seward,99664,302 Railway Avenue,(907) 224-5257x1041,Seaview Community Services
208,Alaska,Sitka,99835,113 Metlakatla Street,(907) 747-3636,Sitka Counseling and Prevention Servs
209,Alaska,Sitka,99835,805 Lincoln Street,(907) 747-3687,CHLD SNR YAD Youth Advocates of Sitka Inc
210,Alaska,Soldotna,99669,43335 Kalifornsky Beach Road,(907) 262-6331,Frontier Community Services
211,Alaska,Soldotna,99669,230 East Marydale Avenue,(907) 260-7300,Peninsula Community Hlth Services of Alaska
212,Alaska,Tok,99780,Unit A,(907) 883-5107,TCC Upper Tanana Behavioral Health West C Street and Willow
213,Alaska,Unalaska,99685,529 Biorka Harbor,(907) 581-2751,Aleutian Pribilof Islands Association Oonalaska Wellness Center
214,Alaska,Unalaska,99685,P.O. Box 1148,(907) 581-2751,Oonalaska Wellness Center
215,Alaska,Valdez,99686,911 Meals Avenue,(907) 835-2838,Providence Valdez Counseling Center
216,Alaska,Wasilla,99654,291 East Swanson Street,(907) 274-8281,Denali Family Services
217,Alaska,Wasilla,99654,1363 West Spruce Avenue,(907) 376-2411,Mat Su Health Services
218,Alaska,Wasilla,99654,301 East Danna Avenue,(907) 357-7519,Wasilla Behavioral Health Services
219,Alaska,Wrangell,99929,333 Church Street,(907) 874-5000,SEARHC Alaska Island Community Services
220,Alaska,Yakutat,99689,364 Ridge Road,(907) 784-3639,Yakutat Counseling
221,American Samoa,Pago Pago,96799,997594 Centennial Office Building,(684) 633-7506,Dept of Human and Social Services Behavioral Health Services Division
222,American Samoa,Pago Pago,96799,Faga'alu Village,(684) 633-1222x406,LBJ Tropical Medical Center Psychiatric Department
223,Arizona,Ajo,85321,410 North Malacate Street,(520) 387-5651,Desert Senita Community Health Center
224,Arizona,Apache Junction,85120,1918 South Ocotillo Drive,(602) 200-9494,Arizona Mentor Ocotillo
225,Arizona,Apache Junction,85120,2066 West Apache Trail,(480) 503-8530x1223,Arizonas Children Association
226,Arizona,Apache Junction,85120,11518 East Apache Trail,(520) 316-6068,Empact
227,Arizona,Apache Junction,85120,625 North Plaza Drive,(480) 983-0065,Horizon Health and Wellness
228,Arizona,Apache Junction,85119,477 East Broadway Avenue,(480) 983-0065,Horizon Health and Wellness Recovery Center
229,Arizona,Apache Junction,85117,1701 South Cactus Road,(855) 810-2484,Zarephath
230,Arizona,Arizona City,85123,8428 West Royal Blackheath Drive,(602) 200-9494,Arizona Mentor Arizona City
231,Arizona,Avondale,85323,824 North 99th Avenue,(623) 907-6520,Community Bridges Inc West Valley Access Point
232,Arizona,Avondale,85392,10550 West Mcdowell Road,(480) 565-3035,Copper Springs
233,Arizona,Avondale,85323,605 North Central Avenue,(623) 882-8463,Stand Together and Recover Centers
234,Arizona,Avondale,85392,12409 West Indian School Road,(866) 207-3882,Touchstone Health Services
235,Arizona,Benson,85602,870 West 4th Street,(520) 678-9589,Caring Connections for Special Needs LCC
236,Arizona,Benson,85602,470 South Ocotillo Avenue,(520) 586-6171,Community Bridges Inc Benson Desert Sunrise
237,Arizona,Benson,85602,590 South Ocotillo,(520) 586-6177,Southeastern Arizona Behavioral Health Services Inc (SEABHS)
238,Arizona,Bisbee,85603,1326 Highway 92,(520) 366-3603,Community Health Associates
239,Arizona,Buckeye,85326,111 East Monroe Avenue,(603) 234-3733x2527,Arizonas Children Association
240,Arizona,Buckeye,85326,26428 West U.S. Highway 85,(623) 882-9906,Southwest Behavioral Health Services Buckeye Clinic
241,Arizona,Bullhead City,86442,2580 Highway 95,(928) 757-8111,Mohave Mental Health Clinic Inc Child and Family Service Center
242,Arizona,Bullhead City,86442,1099 Hancock Road,(928) 299-3698,Solutions One Stop Counseling
243,Arizona,Bullhead City,86442,2580 Highway 95,(928) 763-7776,Southwest Behavioral Health Services Bullhead City Outpatient Clinic
244,Arizona,Camp Verde,86322,452 West Finnie Flat Road,(928) 634-2236,CAMP VERDE Spectrum Healthcare
245,Arizona,Casa Grande,85122,1668 East Melissa Street,(602) 200-9494,Arizona Mentor Melissa
246,Arizona,Casa Grande,85122,621 West Racine Loop,(602) 200-9494,Arizona Mentor Racine
247,Arizona,Casa Grande,85122,2028 North Trekell Road,(480) 503-8530x1951,Arizonas Children Association
248,Arizona,Casa Grande,85122,330 North Picacho Street,(520) 876-5833,Centro Conocimiento
249,Arizona,Casa Grande,85122,1923 North Trekkel Road,(520) 284-7782,Community Health Associates
250,Arizona,Casa Grande,85122,900 East Florence Boulevard,(520) 836-4278x3631,Corazon Behavioral Health Services
251,Arizona,Casa Grande,85122,1901 North Trekell Road,(520) 836-1029,Helping Associates Inc
252,Arizona,Casa Grande,85122,115 and 117 West 2nd Street,(520) 836-3633,Horizon Health and Wellness
253,Arizona,Casa Grande,85122,210 East Cottonwood Lane,(520) 836-1688,Horizon Health and Wellness Casa Grande Main Office
254,Arizona,Casa Grande,85122,222 East Cottonwood Lane,(520) 421-9910,Horizon Health and Wellness Counseling Center
255,Arizona,Casa Grande,85122,115 North 2nd Street,(480) 983-0065,Horizon Health and Wellness FQHC
256,Arizona,Casa Grande,85122,2269 South Peart Road,(520) 836-1911,Horizon Health and Wellness Peart III
257,Arizona,Casa Grande,85122,309 West 2nd Street,(520) 423-0707,Resilient Health Art Awakenings
258,Arizona,Chandler,85225,874 South Sunset Court,(602) 200-9494,Arizona Mentor Curry
259,Arizona,Chandler,85286,3026 East Kingbird Place,(602) 200-9494,Arizona Mentor Horizon
