,Drug use disorders,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
14,"Choctaw County, Alabama",1023,"0.48 (0.22, 0.86)","0.65 (0.31, 1.17)","0.95 (0.49, 1.70)","1.45 (0.75, 2.56)","2.63 (1.49, 4.24)","5.00 (3.08, 7.83)","6.45 (4.05, 9.59)","6.68 (4.07, 10.35)","1306.07 (571.11, 2884.00)"
15,"Clarke County, Alabama",1025,"0.43 (0.20, 0.80)","0.57 (0.29, 0.99)","0.83 (0.44, 1.42)","1.21 (0.64, 1.98)","2.21 (1.34, 3.45)","4.23 (2.64, 6.22)","5.49 (3.58, 7.85)","5.97 (3.76, 8.83)","1294.84 (582.11, 2873.07)"
16,"Clay County, Alabama",1027,"0.48 (0.23, 0.86)","0.65 (0.33, 1.07)","0.98 (0.50, 1.73)","1.48 (0.74, 2.51)","2.70 (1.52, 4.39)","5.00 (2.90, 8.09)","6.94 (4.19, 10.67)","7.50 (4.44, 11.74)","1473.68 (715.61, 3139.35)"
17,"Cleburne County, Alabama",1029,"0.66 (0.37, 1.13)","0.93 (0.54, 1.46)","1.44 (0.86, 2.22)","2.26 (1.38, 3.42)","4.08 (2.72, 5.88)","7.28 (5.09, 9.84)","10.10 (7.19, 13.46)","11.37 (8.07, 15.18)","1630.81 (900.24, 3125.88)"
18,"Coffee County, Alabama",1031,"0.67 (0.33, 1.22)","0.77 (0.41, 1.27)","1.18 (0.68, 1.87)","1.53 (0.95, 2.30)","2.53 (1.65, 3.66)","4.72 (3.30, 6.67)","6.06 (4.31, 8.32)","5.83 (4.00, 7.90)","775.62 (350.41, 1683.92)"
19,"Colbert County, Alabama",1033,"0.46 (0.21, 0.84)","0.66 (0.37, 1.08)","1.03 (0.58, 1.67)","1.53 (0.91, 2.41)","2.77 (1.78, 4.01)","5.08 (3.61, 6.88)","7.27 (5.40, 9.64)","8.31 (6.25, 10.97)","1714.06 (871.10, 3690.24)"
20,"Conecuh County, Alabama",1035,"0.79 (0.33, 1.49)","1.00 (0.50, 1.85)","1.46 (0.73, 2.68)","2.14 (1.12, 3.70)","3.99 (2.25, 6.43)","7.29 (4.31, 10.81)","9.71 (6.18, 14.24)","10.51 (6.52, 15.44)","1238.54 (618.42, 2791.85)"
21,"Coosa County, Alabama",1037,"0.46 (0.22, 0.81)","0.67 (0.33, 1.15)","1.05 (0.56, 1.70)","1.75 (0.94, 2.86)","3.26 (1.86, 5.03)","6.48 (3.96, 9.61)","9.30 (5.96, 13.18)","10.27 (6.39, 14.67)","2127.95 (1080.79, 4428.64)"
22,"Covington County, Alabama",1039,"0.78 (0.43, 1.34)","0.94 (0.56, 1.47)","1.27 (0.78, 1.97)","1.75 (1.10, 2.60)","2.96 (1.91, 4.23)","5.09 (3.48, 6.98)","6.49 (4.43, 8.89)","7.12 (5.01, 9.84)","810.09 (390.22, 1730.98)"
23,"Crenshaw County, Alabama",1041,"0.76 (0.36, 1.42)","0.94 (0.46, 1.73)","1.35 (0.64, 2.52)","1.82 (0.89, 3.21)","3.14 (1.75, 5.19)","5.64 (3.21, 8.94)","6.71 (3.89, 10.31)","7.56 (4.40, 11.88)","895.54 (404.67, 2014.30)"
24,"Cullman County, Alabama",1043,"0.34 (0.19, 0.57)","0.56 (0.33, 0.86)","1.00 (0.60, 1.54)","1.70 (1.17, 2.47)","3.43 (2.48, 4.55)","6.32 (4.86, 8.01)","10.15 (7.98, 12.48)","14.49 (11.88, 17.44)","4114.92 (2310.96, 7904.42)"
25,"Dale County, Alabama",1045,"0.67 (0.37, 1.12)","0.85 (0.49, 1.35)","1.19 (0.73, 1.79)","1.76 (1.08, 2.53)","3.22 (2.09, 4.48)","5.66 (4.00, 7.54)","7.30 (5.41, 9.56)","7.80 (5.68, 10.07)","1058.94 (559.29, 2058.41)"
26,"Dallas County, Alabama",1047,"0.60 (0.29, 1.13)","0.84 (0.41, 1.51)","1.18 (0.63, 2.03)","1.68 (0.94, 2.68)","2.71 (1.59, 4.19)","4.95 (3.13, 7.30)","6.76 (4.55, 9.34)","6.84 (4.72, 9.48)","1040.08 (477.01, 2352.48)"
27,"DeKalb County, Alabama",1049,"0.58 (0.30, 0.95)","0.82 (0.49, 1.25)","1.33 (0.83, 1.99)","1.98 (1.31, 2.87)","3.57 (2.46, 5.00)","6.84 (5.10, 8.82)","10.05 (7.69, 12.74)","10.77 (8.35, 13.41)","1768.20 (970.85, 3673.56)"
28,"Elmore County, Alabama",1051,"0.47 (0.25, 0.80)","0.64 (0.38, 1.02)","0.92 (0.57, 1.42)","1.37 (0.83, 2.09)","2.50 (1.66, 3.58)","3.95 (2.77, 5.30)","5.92 (4.36, 7.58)","6.19 (4.63, 8.02)","1214.95 (608.67, 2526.76)"
29,"Escambia County, Alabama",1053,"0.78 (0.45, 1.23)","1.05 (0.61, 1.65)","1.57 (0.93, 2.33)","2.32 (1.42, 3.48)","4.19 (2.75, 5.96)","7.93 (5.58, 10.81)","12.56 (9.32, 16.26)","11.19 (7.87, 15.05)","1333.14 (715.52, 2607.75)"
30,"Etowah County, Alabama",1055,"0.71 (0.40, 1.12)","1.07 (0.67, 1.56)","1.60 (1.06, 2.34)","2.51 (1.74, 3.39)","4.94 (3.62, 6.49)","9.57 (7.63, 11.97)","11.61 (9.44, 13.96)","14.28 (11.76, 17.30)","1917.45 (1139.55, 3558.43)"
31,"Fayette County, Alabama",1057,"0.45 (0.22, 0.89)","0.69 (0.37, 1.18)","1.26 (0.68, 1.99)","2.14 (1.26, 3.29)","4.59 (2.98, 6.77)","8.70 (5.96, 11.79)","13.52 (9.69, 17.85)","16.47 (11.85, 21.99)","3549.05 (1816.22, 7527.20)"
32,"Franklin County, Alabama",1059,"0.57 (0.30, 0.90)","0.85 (0.48, 1.34)","1.45 (0.86, 2.19)","2.42 (1.59, 3.52)","4.77 (3.37, 6.56)","9.53 (7.20, 12.37)","14.63 (11.08, 18.64)","17.26 (13.40, 21.64)","2948.02 (1737.25, 5697.00)"
33,"Geneva County, Alabama",1061,"0.79 (0.42, 1.43)","0.97 (0.55, 1.60)","1.33 (0.73, 2.18)","1.85 (1.10, 2.92)","3.03 (1.83, 4.48)","5.19 (3.51, 7.60)","6.62 (4.33, 9.58)","6.46 (4.24, 9.30)","714.48 (337.18, 1488.63)"
34,"Greene County, Alabama",1063,"0.37 (0.15, 0.76)","0.51 (0.22, 1.01)","0.76 (0.34, 1.46)","1.17 (0.54, 2.06)","2.30 (1.12, 4.07)","4.61 (2.51, 7.44)","6.22 (3.38, 9.98)","6.91 (3.70, 11.19)","1744.09 (722.03, 4411.58)"
35,"Hale County, Alabama",1065,"0.39 (0.18, 0.72)","0.55 (0.25, 0.94)","0.86 (0.45, 1.49)","1.23 (0.63, 2.06)","2.41 (1.34, 3.87)","4.43 (2.67, 6.85)","6.16 (3.75, 9.16)","6.58 (3.95, 9.90)","1593.96 (744.56, 3465.39)"
36,"Henry County, Alabama",1067,"0.72 (0.31, 1.39)","0.88 (0.41, 1.65)","1.21 (0.58, 2.15)","1.73 (0.83, 3.01)","2.90 (1.53, 4.71)","5.13 (3.12, 7.89)","6.16 (3.80, 9.43)","6.31 (3.79, 9.82)","781.63 (343.83, 1815.86)"
37,"Houston County, Alabama",1069,"0.76 (0.41, 1.27)","0.96 (0.56, 1.51)","1.34 (0.82, 2.04)","2.16 (1.39, 3.17)","3.41 (2.29, 4.65)","5.97 (4.42, 7.90)","9.54 (7.44, 12.01)","9.57 (7.30, 12.16)","1162.07 (624.80, 2324.02)"
38,"Jackson County, Alabama",1071,"0.55 (0.29, 0.92)","0.75 (0.44, 1.15)","1.17 (0.74, 1.86)","1.87 (1.19, 2.69)","3.39 (2.27, 4.71)","6.40 (4.65, 8.52)","8.95 (6.68, 11.90)","10.29 (7.75, 13.49)","1778.98 (940.77, 3460.21)"
39,"Jefferson County, Alabama",1073,"0.87 (0.58, 1.25)","1.26 (0.88, 1.75)","1.87 (1.35, 2.54)","3.07 (2.33, 3.87)","6.43 (5.23, 7.70)","9.93 (8.53, 11.47)","12.60 (10.94, 14.25)","22.64 (20.47, 24.74)","2508.44 (1699.13, 3815.95)"
40,"Lamar County, Alabama",1075,"0.48 (0.22, 0.93)","0.71 (0.34, 1.27)","1.15 (0.60, 1.96)","1.82 (1.00, 3.06)","3.36 (2.07, 5.07)","6.11 (3.80, 9.02)","8.55 (5.63, 12.23)","9.57 (6.23, 13.94)","1883.20 (924.69, 4254.23)"
41,"Lauderdale County, Alabama",1077,"0.51 (0.28, 0.82)","0.68 (0.41, 1.04)","1.08 (0.65, 1.63)","1.71 (1.14, 2.51)","3.47 (2.34, 4.84)","6.15 (4.65, 7.86)","10.01 (7.76, 12.52)","10.38 (8.16, 12.98)","1950.80 (1073.12, 3876.22)"
42,"Lawrence County, Alabama",1079,"0.52 (0.28, 0.90)","0.79 (0.44, 1.28)","1.40 (0.81, 2.20)","2.19 (1.36, 3.30)","4.46 (3.05, 6.35)","8.14 (5.99, 10.73)","12.78 (9.67, 16.23)","13.83 (10.47, 17.66)","2539.51 (1349.15, 5117.98)"
43,"Lee County, Alabama",1081,"0.63 (0.33, 1.05)","0.77 (0.42, 1.22)","1.02 (0.58, 1.56)","1.52 (0.93, 2.28)","2.53 (1.74, 3.55)","4.51 (3.18, 6.06)","5.23 (3.86, 6.91)","5.41 (3.86, 7.04)","752.19 (369.62, 1568.22)"
44,"Limestone County, Alabama",1083,"0.46 (0.25, 0.80)","0.62 (0.35, 1.00)","0.91 (0.55, 1.42)","1.38 (0.88, 2.16)","2.49 (1.71, 3.53)","4.56 (3.34, 6.12)","7.46 (5.72, 9.76)","6.71 (5.10, 8.70)","1347.89 (651.17, 2689.77)"
45,"Lowndes County, Alabama",1085,"0.40 (0.17, 0.78)","0.53 (0.24, 0.97)","0.79 (0.37, 1.46)","1.10 (0.53, 2.03)","1.91 (0.98, 3.35)","3.49 (1.94, 5.64)","4.40 (2.43, 7.08)","4.59 (2.69, 7.32)","1045.22 (438.69, 2526.07)"
46,"Macon County, Alabama",1087,"0.52 (0.23, 0.98)","0.68 (0.32, 1.26)","1.05 (0.48, 1.86)","1.55 (0.76, 2.71)","2.99 (1.58, 4.87)","5.39 (3.24, 8.19)","6.87 (4.24, 10.38)","7.37 (4.36, 11.36)","1327.69 (580.89, 3229.47)"
47,"Madison County, Alabama",1089,"0.43 (0.24, 0.67)","0.54 (0.34, 0.79)","0.85 (0.55, 1.24)","1.30 (0.89, 1.86)","2.11 (1.50, 2.79)","4.06 (3.18, 5.03)","6.59 (5.44, 7.92)","6.28 (5.18, 7.68)","1374.73 (785.04, 2484.26)"
48,"Marengo County, Alabama",1091,"0.42 (0.20, 0.78)","0.56 (0.27, 0.95)","0.82 (0.41, 1.39)","1.22 (0.61, 2.08)","2.23 (1.30, 3.53)","4.28 (2.61, 6.31)","5.93 (3.65, 8.73)","6.43 (3.91, 9.46)","1422.37 (699.05, 3052.01)"
49,"Marion County, Alabama",1093,"0.44 (0.23, 0.78)","0.60 (0.33, 0.98)","0.95 (0.55, 1.54)","1.44 (0.89, 2.18)","2.79 (1.82, 4.06)","4.88 (3.45, 6.60)","7.06 (5.11, 9.38)","7.20 (5.01, 9.96)","1537.07 (752.21, 3085.22)"
50,"Marshall County, Alabama",1095,"0.56 (0.29, 0.94)","0.82 (0.47, 1.30)","1.27 (0.78, 1.95)","1.88 (1.17, 2.78)","3.66 (2.51, 5.08)","6.66 (5.04, 8.59)","9.97 (7.70, 12.43)","13.49 (10.68, 16.47)","2325.30 (1305.55, 4590.27)"
51,"Mobile County, Alabama",1097,"0.65 (0.39, 1.04)","1.03 (0.67, 1.48)","1.49 (0.99, 2.10)","2.19 (1.57, 3.03)","4.54 (3.50, 5.85)","7.91 (6.40, 9.71)","11.34 (9.48, 13.39)","11.82 (9.95, 13.76)","1730.59 (1027.14, 3043.82)"
52,"Monroe County, Alabama",1099,"0.54 (0.25, 0.96)","0.75 (0.39, 1.30)","1.13 (0.59, 1.87)","1.66 (0.92, 2.72)","3.05 (1.84, 4.80)","5.55 (3.38, 8.24)","7.75 (5.18, 11.20)","7.93 (5.25, 11.61)","1362.60 (649.81, 3138.30)"
53,"Montgomery County, Alabama",1101,"0.73 (0.41, 1.17)","0.87 (0.51, 1.39)","1.20 (0.73, 1.84)","1.53 (1.02, 2.25)","2.55 (1.73, 3.51)","4.36 (3.17, 5.75)","5.87 (4.54, 7.33)","6.05 (4.73, 7.59)","734.82 (387.28, 1413.30)"
54,"Morgan County, Alabama",1103,"0.46 (0.25, 0.79)","0.67 (0.40, 1.03)","1.20 (0.71, 1.81)","2.03 (1.32, 2.92)","3.63 (2.63, 4.86)","7.80 (6.13, 9.79)","11.95 (9.58, 14.61)","11.41 (9.09, 13.79)","2369.49 (1291.46, 4594.21)"
55,"Perry County, Alabama",1105,"0.47 (0.20, 0.91)","0.69 (0.29, 1.30)","1.11 (0.52, 2.11)","1.71 (0.83, 3.05)","3.13 (1.56, 5.36)","5.99 (3.36, 9.54)","8.88 (5.01, 13.70)","9.95 (5.59, 15.64)","2006.28 (911.48, 5051.53)"
56,"Pickens County, Alabama",1107,"0.45 (0.22, 0.79)","0.66 (0.34, 1.14)","1.08 (0.61, 1.84)","1.67 (0.99, 2.64)","3.19 (1.96, 4.74)","6.10 (4.15, 8.81)","8.38 (5.85, 11.24)","10.53 (7.38, 14.32)","2265.88 (1143.60, 4760.62)"
57,"Pike County, Alabama",1109,"0.72 (0.34, 1.27)","0.88 (0.43, 1.49)","1.16 (0.62, 1.92)","1.69 (0.86, 2.81)","2.88 (1.64, 4.75)","5.25 (3.21, 7.97)","6.98 (4.50, 10.25)","6.70 (4.23, 9.85)","836.97 (399.40, 1864.21)"
58,"Randolph County, Alabama",1111,"0.80 (0.42, 1.39)","1.07 (0.58, 1.76)","1.59 (0.90, 2.53)","2.37 (1.43, 3.70)","4.16 (2.67, 6.11)","7.43 (4.97, 10.19)","10.37 (7.35, 14.14)","10.04 (7.01, 13.59)","1155.60 (601.94, 2284.38)"
59,"Russell County, Alabama",1113,"1.12 (0.59, 1.90)","1.32 (0.78, 2.11)","1.75 (1.07, 2.77)","2.56 (1.63, 3.84)","4.12 (2.83, 5.96)","7.41 (5.27, 9.95)","9.34 (6.81, 12.53)","9.00 (6.57, 12.04)","705.77 (329.71, 1502.48)"
60,"Saint Clair County, Alabama",1115,"0.53 (0.28, 0.85)","0.83 (0.49, 1.33)","1.39 (0.87, 2.05)","2.35 (1.53, 3.38)","4.40 (3.19, 5.81)","8.87 (6.84, 11.16)","13.12 (10.75, 15.97)","16.46 (13.46, 19.51)","3024.72 (1765.65, 5878.78)"
61,"Shelby County, Alabama",1117,"0.49 (0.28, 0.79)","0.75 (0.47, 1.11)","1.18 (0.76, 1.74)","1.84 (1.26, 2.55)","3.27 (2.41, 4.22)","5.92 (4.67, 7.23)","8.31 (6.91, 9.89)","11.42 (9.73, 13.25)","2223.98 (1300.65, 4116.05)"
62,"Sumter County, Alabama",1119,"0.35 (0.15, 0.67)","0.48 (0.23, 0.88)","0.72 (0.34, 1.31)","1.08 (0.56, 1.92)","2.00 (1.08, 3.32)","3.98 (2.32, 6.23)","5.03 (3.03, 7.73)","5.40 (3.23, 8.42)","1437.50 (688.15, 3316.04)"
63,"Talladega County, Alabama",1121,"0.56 (0.28, 0.94)","0.76 (0.46, 1.21)","1.18 (0.73, 1.81)","1.85 (1.20, 2.65)","3.30 (2.23, 4.53)","6.58 (4.97, 8.42)","8.89 (6.85, 11.20)","8.97 (6.86, 11.36)","1500.27 (814.19, 2974.02)"
64,"Tallapoosa County, Alabama",1123,"0.58 (0.29, 1.04)","0.77 (0.40, 1.29)","1.25 (0.69, 2.02)","1.73 (0.97, 2.67)","2.97 (1.81, 4.52)","6.03 (4.02, 8.33)","7.18 (4.92, 9.94)","7.61 (5.09, 10.74)","1210.18 (606.30, 2579.88)"
65,"Tuscaloosa County, Alabama",1125,"0.36 (0.19, 0.58)","0.59 (0.33, 0.94)","0.98 (0.60, 1.46)","1.69 (1.11, 2.46)","3.80 (2.68, 5.08)","7.42 (5.75, 9.26)","11.21 (8.98, 13.56)","11.74 (9.52, 14.14)","3172.45 (1764.16, 6318.96)"
66,"Walker County, Alabama",1127,"0.71 (0.40, 1.12)","1.19 (0.76, 1.73)","2.31 (1.57, 3.17)","4.51 (3.26, 6.12)","9.43 (7.38, 11.80)","19.01 (15.69, 22.70)","31.89 (27.96, 36.50)","34.68 (30.07, 39.83)","4756.15 (2923.53, 8627.62)"
67,"Washington County, Alabama",1129,"0.35 (0.16, 0.64)","0.48 (0.24, 0.83)","0.74 (0.36, 1.30)","1.14 (0.60, 1.96)","2.11 (1.19, 3.37)","4.15 (2.53, 6.28)","5.95 (3.69, 8.88)","6.37 (3.87, 9.74)","1703.44 (807.56, 3914.90)"
68,"Wilcox County, Alabama",1131,"0.45 (0.19, 0.85)","0.60 (0.27, 1.05)","0.90 (0.40, 1.68)","1.32 (0.65, 2.26)","2.48 (1.18, 4.36)","4.71 (2.48, 7.75)","6.35 (3.60, 9.90)","6.74 (3.51, 10.98)","1398.15 (641.21, 3202.46)"
69,"Winston County, Alabama",1133,"0.44 (0.22, 0.77)","0.65 (0.36, 1.10)","1.10 (0.63, 1.80)","1.80 (1.07, 2.81)","3.51 (2.34, 5.16)","7.11 (4.91, 9.74)","10.09 (7.27, 13.32)","11.23 (8.06, 14.82)","2462.50 (1304.12, 5102.52)"
70,Alaska,2,"1.90 (1.31, 2.60)","2.15 (1.56, 2.85)","2.86 (2.13, 3.72)","3.82 (2.99, 4.82)","5.76 (4.68, 7.05)","9.44 (8.05, 11.02)","10.88 (9.34, 12.51)","11.51 (9.83, 13.28)","505.98 (315.92, 812.99)"
71,"Aleutians East Borough, Alaska",2013,"2.40 (0.70, 5.84)","2.53 (0.89, 5.84)","2.79 (1.18, 5.45)","3.23 (1.55, 6.01)","4.47 (2.33, 7.83)","5.82 (3.19, 9.55)","6.40 (3.49, 10.10)","5.42 (2.96, 8.71)","125.98 (-24.12, 759.27)"
72,"Aleutians West Census Area, Alaska",2016,"2.40 (0.70, 5.84)","2.53 (0.89, 5.84)","2.79 (1.18, 5.45)","3.23 (1.55, 6.01)","4.47 (2.33, 7.83)","5.82 (3.19, 9.55)","6.40 (3.49, 10.10)","5.42 (2.96, 8.71)","125.98 (-24.12, 759.27)"
73,"Anchorage Municipality, Alaska",2020,"2.19 (1.15, 3.63)","2.49 (1.43, 3.93)","3.31 (1.93, 5.08)","4.82 (3.08, 7.04)","6.45 (4.29, 8.88)","10.52 (7.61, 14.00)","11.66 (8.79, 15.00)","13.26 (10.07, 16.98)","505.63 (241.14, 1090.37)"
74,"Bethel Census Area, Alaska",2050,"1.20 (0.35, 2.94)","1.29 (0.43, 2.84)","1.55 (0.56, 3.46)","1.83 (0.67, 3.87)","3.30 (1.25, 6.71)","5.43 (2.35, 10.38)","6.70 (2.67, 12.51)","6.77 (2.61, 13.52)","463.51 (60.93, 2122.99)"
75,"Bristol Bay Borough, Alaska",2060,"2.21 (0.51, 5.88)","2.85 (0.83, 7.02)","3.83 (1.25, 8.43)","4.34 (1.32, 9.38)","7.74 (2.57, 17.04)","12.23 (4.45, 24.01)","14.40 (5.18, 27.91)","14.03 (4.70, 27.61)","535.04 (70.64, 2845.96)"
76,"Denali Borough, Alaska",2068,"1.78 (0.75, 3.65)","2.00 (0.87, 4.06)","2.25 (1.04, 4.40)","2.70 (1.21, 5.15)","4.27 (2.18, 7.41)","7.29 (3.67, 12.63)","9.27 (4.65, 15.74)","8.80 (4.47, 15.54)","393.65 (93.67, 1272.05)"
77,"Dillingham Census Area, Alaska",2070,"1.19 (0.38, 2.82)","1.32 (0.46, 2.80)","1.83 (0.70, 3.92)","2.66 (1.13, 5.17)","4.60 (2.27, 8.59)","8.75 (4.51, 15.27)","11.16 (5.68, 19.07)","11.04 (5.59, 19.17)","826.66 (216.11, 2967.43)"
78,"Fairbanks North Star Borough, Alaska",2090,"1.69 (0.84, 2.83)","1.94 (1.13, 3.08)","2.54 (1.54, 3.98)","3.07 (1.89, 4.59)","4.78 (3.27, 6.68)","8.05 (5.71, 10.81)","8.72 (6.31, 11.58)","8.47 (6.12, 11.13)","402.57 (163.90, 994.56)"
79,"Haines Borough, Alaska",2100,"0.94 (0.28, 2.39)","1.18 (0.38, 2.63)","1.45 (0.53, 3.08)","2.11 (0.81, 4.42)","3.34 (1.27, 6.70)","5.67 (2.55, 10.36)","6.95 (2.97, 12.45)","6.23 (2.39, 11.57)","559.81 (119.33, 2317.72)"
80,"Hoonah-Angoon Census Area, Alaska",2105,"0.82 (0.30, 1.81)","0.97 (0.38, 1.96)","1.36 (0.52, 2.79)","1.74 (0.74, 3.47)","2.99 (1.43, 5.77)","5.03 (2.49, 8.74)","6.00 (2.87, 10.22)","5.67 (2.69, 10.04)","586.94 (134.33, 1891.04)"
81,"Juneau City and Borough, Alaska",2110,"1.07 (0.43, 2.16)","1.37 (0.66, 2.47)","1.95 (0.98, 3.31)","2.53 (1.43, 3.90)","4.56 (2.91, 6.71)","7.16 (4.87, 9.80)","10.06 (7.04, 13.63)","10.09 (6.84, 13.72)","838.53 (314.44, 2409.42)"
82,"Kenai Peninsula Borough, Alaska",2122,"1.80 (1.02, 2.96)","2.10 (1.28, 3.25)","2.96 (1.86, 4.44)","3.60 (2.33, 5.18)","6.66 (4.65, 9.28)","10.81 (8.05, 13.91)","12.90 (9.91, 16.40)","12.52 (9.50, 15.82)","595.16 (286.94, 1223.76)"
83,"Ketchikan Gateway Borough, Alaska",2130,"1.63 (0.68, 3.10)","1.80 (0.88, 3.25)","2.50 (1.31, 4.23)","2.91 (1.57, 4.63)","5.38 (3.32, 8.25)","8.41 (5.75, 11.71)","9.86 (6.67, 13.79)","10.29 (6.67, 14.20)","529.44 (167.99, 1590.05)"
84,"Kodiak Island Borough, Alaska",2150,"2.53 (1.01, 5.19)","2.76 (1.30, 5.12)","4.23 (2.08, 7.45)","5.17 (2.70, 8.56)","7.00 (4.08, 11.04)","10.50 (6.32, 15.89)","12.32 (7.76, 17.82)","11.45 (6.98, 17.10)","353.24 (84.17, 1144.08)"
85,"Kusilvak Census Area, Alaska",2158,"1.80 (0.57, 4.17)","1.76 (0.60, 3.77)","1.97 (0.74, 4.25)","2.17 (0.87, 4.34)","3.83 (1.66, 7.39)","6.36 (2.82, 12.23)","7.65 (3.13, 14.02)","7.53 (3.03, 14.15)","319.01 (19.29, 1487.35)"
86,"Lake and Peninsula Borough, Alaska",2164,"1.19 (0.38, 2.82)","1.32 (0.46, 2.80)","1.83 (0.70, 3.92)","2.66 (1.13, 5.17)","4.60 (2.27, 8.59)","8.75 (4.51, 15.27)","11.16 (5.68, 19.07)","11.04 (5.59, 19.17)","826.66 (216.11, 2967.43)"
87,"Matanuska-Susitna Borough, Alaska",2170,"1.59 (0.87, 2.59)","2.14 (1.30, 3.20)","2.87 (1.84, 4.21)","3.75 (2.51, 5.32)","6.69 (4.91, 8.73)","11.40 (8.75, 14.42)","13.57 (10.84, 16.50)","14.23 (11.30, 17.58)","792.71 (421.60, 1505.78)"
